City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Upernavik,100,GL,1605024507,85,72.79,-56.15,7.23,5.82
85,Umluj,0,SA,1605024241,63,25.02,37.27,79.21,15.08
86,Vao,100,NC,1605024509,67,-22.67,167.48,70.36,15.35
87,Aleksandrov Gay,99,RU,1605024511,70,50.15,48.57,39.22,14.5
88,Chokurdakh,94,RU,1605024512,92,70.63,147.92,-9.71,3.11
89,Clyde River,20,CA,1605024513,91,70.47,-68.59,-4.0,6.93
90,Fairbanks,90,US,1605024515,79,64.84,-147.72,24.8,2.59
91,Green River,90,US,1605024371,67,41.53,-109.47,19.4,23.04
92,Cayenne,92,GF,1605024486,62,4.93,-52.33,89.6,5.82
93,Tashtyp,84,RU,1605024518,90,52.79,89.9,31.53,16.51
94,Yar-Sale,56,RU,1605023999,92,66.83,70.83,6.51,8.25
95,Lufilufi,75,WS,1605024521,100,-13.87,-171.6,75.2,3.36
96,Chui,100,UY,1605024522,81,-33.7,-53.46,59.65,10.56
97,Daru,100,PG,1605024523,79,-9.08,143.21,79.0,13.62
98,Kapaa,40,US,1605024524,78,22.08,-159.32,78.8,14.99
99,Bubaque,0,GW,1605024526,69,11.28,-15.83,83.86,9.28
100,Mar del Plata,40,AR,1605024291,73,-38.0,-57.56,69.8,11.41
101,Eyl,1,SO,1605024247,76,7.98,49.82,79.29,15.84
102,Sitka,1,US,1605024243,82,57.05,-135.33,32.0,5.82
103,Yuzhno-Kurilsk,70,RU,1605024530,83,44.03,145.86,36.14,15.35
104,Honningsvåg,100,NO,1605024531,78,70.98,25.97,35.6,23.04
105,Rome,90,US,1605024260,78,34.26,-85.16,71.6,10.29
106,Santander,0,ES,1605024534,72,43.46,-3.8,63.0,8.05
107,Caravelas,56,BR,1605024535,54,-17.71,-39.25,84.78,10.13
108,Codrington,100,AU,1605024536,53,-38.27,141.97,73.62,14.38
109,Castro,100,BR,1605024497,68,-24.79,-50.01,73.24,6.78
110,Atherton,65,GB,1605024539,71,53.52,-2.49,57.0,1.99
111,Tineo,0,ES,1605024540,76,43.34,-6.41,57.2,3.36
112,Washougal,90,US,1605024541,87,45.58,-122.35,44.01,3.36
113,Henties Bay,1,NA,1605023972,75,-22.12,14.28,63.0,6.51
114,Río Gallegos,20,AR,1605024543,52,-51.62,-69.22,66.2,4.7
115,Rabo de Peixe,75,PT,1605024495,93,37.8,-25.58,66.2,24.16
116,Ust'-Ilimsk,66,RU,1605024546,96,58.0,102.66,28.85,8.23
117,Labuhan,100,ID,1605024547,77,-6.88,112.21,80.65,5.79
118,Cidreira,10,BR,1605024273,77,-30.18,-50.21,74.28,13.31
119,Vuktyl,95,RU,1605024550,97,63.86,57.31,23.85,8.52
120,São João da Barra,75,BR,1605023953,66,-21.64,-41.05,84.2,11.74
121,Praia,40,CV,1605024552,55,14.92,-23.51,87.8,10.29
122,Bredasdorp,17,ZA,1605024553,45,-34.53,20.04,66.2,12.75
123,Dawson Creek,90,CA,1605024554,85,55.77,-120.24,23.0,12.75
124,Lagoa,100,PT,1605024090,85,39.05,-27.98,59.92,31.16
125,Nortelândia,44,BR,1605024557,33,-14.45,-56.8,101.17,2.24
126,Kasongo-Lunda,74,CD,1605024558,73,-6.47,16.82,79.92,2.01
127,Coyhaique,0,CL,1605024497,48,-45.58,-72.07,64.4,3.36
128,Vila Velha,0,BR,1605024560,58,-20.33,-40.29,87.8,11.41
129,Oriximiná,89,BR,1605024562,43,-1.77,-55.87,94.12,5.59
130,Puerto Ayora,75,EC,1605024563,78,-0.74,-90.35,73.4,12.75
131,Khatanga,99,RU,1605024564,92,71.97,102.5,-0.45,7.67
132,Batemans Bay,5,AU,1605024565,90,-35.72,150.18,60.01,1.01
133,Gayny,94,RU,1605024160,98,60.31,54.32,25.34,4.99
134,Tuktoyaktuk,90,CA,1605024568,77,69.45,-133.04,-0.4,4.7
135,Korla,0,CN,1605024569,59,41.76,86.15,38.68,2.66
136,Isangel,100,VU,1605024571,85,-19.55,169.27,75.18,12.95
137,Neulengbach,0,AT,1605024572,93,48.2,15.9,42.01,1.01
138,Byron Bay,90,AU,1605024573,93,-28.65,153.62,59.0,3.89
139,Egvekinot,88,RU,1605024575,94,66.32,-179.17,20.3,20.65
140,Soyo,20,AO,1605024576,74,-6.13,12.37,86.0,9.17
141,Hilo,90,US,1605024577,94,19.73,-155.09,71.6,4.7
142,Lorengau,50,PG,1605024579,73,-2.02,147.27,82.31,6.53
143,Tuatapere,4,NZ,1605024580,94,-46.13,167.68,44.01,2.75
144,Kavieng,60,PG,1605024044,74,-2.57,150.8,81.5,5.93
145,Portland,90,US,1605023770,87,45.52,-122.68,44.01,3.36
146,Forsytheganj,42,BY,1605024245,90,52.63,29.73,36.46,5.46
147,Sakakah,0,SA,1605024106,29,29.97,40.21,77.0,4.7
148,Salamiyah,0,SY,1605024586,57,35.01,37.05,65.88,7.43
149,Provideniya,100,RU,1605024587,93,64.38,-173.3,33.84,22.35
150,Adré,50,TD,1605024588,25,13.47,22.2,81.36,5.12
151,Bluff,11,NZ,1605024589,94,-46.6,168.33,44.01,4.81
152,Sittwe,47,MM,1605024591,79,20.15,92.9,79.32,5.3
153,Allāhganj,0,IN,1605024592,33,27.55,79.68,70.43,3.67
154,Nagahama,50,JP,1605024593,95,35.38,136.27,30.99,7.0
155,Sinjār,0,IQ,1605024594,60,36.32,41.88,65.91,1.54
156,Roald,75,NO,1605024595,87,62.58,6.13,48.99,3.36
157,Lavrentiya,100,RU,1605024597,92,65.58,-171.0,34.9,22.59
158,Souillac,40,MU,1605024598,83,-20.52,57.52,73.4,6.93
159,Hoceni,100,RO,1605024600,58,46.54,28.01,46.76,3.27
160,Klaksvík,100,FO,1605024601,100,62.23,-6.59,51.8,16.11
161,Ancud,0,CL,1605024603,67,-41.87,-73.82,61.0,10.29
162,Flin Flon,40,CA,1605024604,92,54.77,-101.86,6.8,10.29
163,Bambous Virieux,40,MU,1605024075,83,-20.34,57.76,73.99,6.93
164,Yerbogachën,100,RU,1605024520,97,61.28,108.01,27.63,9.98
165,George Town,20,MY,1605024546,83,5.41,100.34,82.4,4.7
166,Qasigiannguit,75,GL,1605024609,72,68.82,-51.19,17.6,11.41
167,Tasiilaq,90,GL,1605024610,95,65.61,-37.64,32.0,21.92
168,Grindavik,75,IS,1605024611,86,63.84,-22.43,39.2,10.29
169,Leshukonskoye,51,RU,1605024612,97,64.9,45.76,27.75,7.99
170,Baijiantan,92,CN,1605024614,61,45.63,85.18,42.19,5.28
171,Adrar,0,MR,1605024615,11,20.5,-10.07,92.46,10.16
172,Saint Paul Harbor,1,US,1605024616,86,57.79,-152.41,30.2,5.82
173,Rocha,39,UY,1605024240,53,-34.48,-54.33,72.25,9.42
174,Alofi,100,NU,1605024053,88,-19.06,-169.92,69.8,8.05
175,George Town,20,MY,1605024620,83,5.41,100.34,82.4,4.7
176,Mitú,70,CO,1605024621,51,1.2,-70.17,90.73,3.98
177,Doune,100,GB,1605024622,93,56.19,-4.05,53.01,3.0
178,Rangpur City,0,BD,1605024361,73,25.75,89.25,69.64,5.79
179,Nha Trang,100,VN,1605024625,89,12.25,109.18,75.9,2.82
180,Vicksburg,90,US,1605024395,94,32.35,-90.88,75.2,6.93
181,Hofn,100,IS,1605024627,79,64.25,-15.21,41.54,7.38
182,Arroyo de la Encomienda,90,ES,1605024628,100,41.61,-4.8,46.4,3.36
183,Terrace Bay,75,CA,1605024629,88,48.78,-87.1,35.6,6.93
184,Pierre,75,US,1605024465,73,44.37,-100.35,28.99,4.7
185,La Ronge,87,CA,1605024632,78,55.1,-105.28,15.8,4.7
186,Dingle,98,PH,1605024633,89,11.0,122.67,75.61,1.86
187,Winnetka,90,US,1605024545,77,42.11,-87.74,70.0,18.34
188,Carnduff,2,CA,1605024635,90,49.17,-101.8,8.01,3.94
189,Airai,100,TL,1605024637,100,-8.93,125.41,63.19,1.07
190,Kruisfontein,100,ZA,1605024176,78,-34.0,24.73,63.0,3.0
191,Kaeo,4,NZ,1605024639,87,-35.1,173.78,55.99,11.99
192,Saldanha,0,ZA,1605024640,43,-33.01,17.94,69.8,18.34
193,Bengkulu,92,ID,1605024153,88,-3.8,102.27,76.35,4.79
194,Tela,75,HN,1605024643,83,15.78,-87.45,82.4,2.24
195,Mackay,40,AU,1605024644,73,-21.15,149.2,73.4,6.93
196,Acaraú,17,BR,1605024645,52,-2.89,-40.12,89.71,19.24
197,Pisco,75,PE,1605024087,77,-13.7,-76.22,68.0,6.93
198,Assisi,76,IT,1605024647,72,43.07,12.62,60.8,2.24
